model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
xgboost|1|[3105, 115141, 4, 746033]|0.0262588163658813|0.05117218079189156|0.8667739617694667|0.9987134126728852|0.9987134126728852|0.9325055241131056|115145|118246
xgboost|2|[3108, 135326, 1, 725848]|0.022451131947353972|0.04391598312880184|0.8434228140551185|0.9996783531682213|0.9996783531682213|0.9212685276792434|135327|138434
xgboost|3|[3105, 115170, 4, 746004]|0.026252377932783767|0.05115995518354974|0.8667404079450828|0.9987134126728852|0.9987134126728852|0.9324886866331074|115174|118275
xgboost|4|[3103, 115106, 6, 746068]|0.026250116319400385|0.05115481626798991|0.8668121437075588|0.9980701190093277|0.9980701190093277|0.9322041983778765|115112|118209
xgboost|5|[3108, 156578, 1, 704596]|0.019463196523176733|0.03818299087809822|0.8188336459238467|0.9996783531682213|0.9996783531682213|0.90892955785433|156579|159686
xgboost|6|[3105, 115141, 4, 746033]|0.0262588163658813|0.05117218079189156|0.8667739617694667|0.9987134126728852|0.9987134126728852|0.9325055241131056|115145|118246
xgboost|7|[3103, 115106, 6, 746068]|0.026250116319400385|0.05115481626798991|0.8668121437075588|0.9980701190093277|0.9980701190093277|0.9322041983778765|115112|118209
xgboost|8|[3104, 34045, 5, 827129]|0.08355541198955557|0.15420537532912715|0.9606031820595801|0.9983917658411064|0.9983917658411064|0.9794292620053839|34050|37149
xgboost|9|[3108, 135329, 1, 725845]|0.02245064541993831|0.04391505235047263|0.8434193429698374|0.9996783531682213|0.9996783531682213|0.9212667858709679|135330|138437
xgboost|10|[3108, 135329, 1, 725845]|0.02245064541993831|0.04391505235047263|0.8434193429698374|0.9996783531682213|0.9996783531682213|0.9212667858709679|135330|138437
-|-|-|0.030164127460331|0.057994840334028505|0.8643610946877354|0.9989385654551303|0.9989385654551303|0.9314069050895964|-|-
