model|fold|confusion_matrix|precision|f-score|accuracy_score|recall_score|sensitivity|auc_score|no_false|no_links
lr|1|[3047, 3769, 62, 857405]|0.4470363849765258|0.6140050377833753|0.9955674240960426|0.9800578964297202|0.9800578964297202|0.9992845552854365|3831|6816
lr|2|[3047, 3769, 62, 857405]|0.4470363849765258|0.6140050377833753|0.9955674240960426|0.9800578964297202|0.9800578964297202|0.9992949291944869|3831|6816
lr|3|[3047, 3769, 62, 857405]|0.4470363849765258|0.6140050377833753|0.9955674240960426|0.9800578964297202|0.9800578964297202|0.9993772717007335|3831|6816
lr|4|[3047, 3769, 62, 857405]|0.4470363849765258|0.6140050377833753|0.9955674240960426|0.9800578964297202|0.9800578964297202|0.9992937769529237|3831|6816
lr|5|[3047, 3769, 62, 857405]|0.4470363849765258|0.6140050377833753|0.9955674240960426|0.9800578964297202|0.9800578964297202|0.9993750396762335|3831|6816
lr|6|[3047, 3769, 62, 857405]|0.4470363849765258|0.6140050377833753|0.9955674240960426|0.9800578964297202|0.9800578964297202|0.9992913129861188|3831|6816
lr|7|[3047, 3769, 62, 857405]|0.4470363849765258|0.6140050377833753|0.9955674240960426|0.9800578964297202|0.9800578964297202|0.9992952373303994|3831|6816
lr|8|[3047, 3769, 62, 857405]|0.4470363849765258|0.6140050377833753|0.9955674240960426|0.9800578964297202|0.9800578964297202|0.9992930732825491|3831|6816
lr|9|[3047, 3769, 62, 857405]|0.4470363849765258|0.6140050377833753|0.9955674240960426|0.9800578964297202|0.9800578964297202|0.9991477003615544|3831|6816
lr|10|[3047, 3769, 62, 857405]|0.4470363849765258|0.6140050377833753|0.9955674240960426|0.9800578964297202|0.9800578964297202|0.999375124460297|3831|6816
-|-|-|0.4470363849765258|0.6140050377833753|0.9955674240960427|0.9800578964297202|0.9800578964297202|0.9993028021230733|-|-
